Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Nikita Kucherov,31,RW,78,37,84,121,22,45,29,8,0,9,46,38,0,265,14,550,21:11,1,1,50,33,23,30,122
Nathan MacKinnon,29,C,79,32,84,116,25,41,23,9,0,5,55,29,0,320,10,590,22:47,756,758,49.9,58,38,27,121
Leon Draisaitl,29,C,71,52,54,106,32,34,36,16,0,11,37,17,0,240,21.7,416,21:31,650,546,54.3,27,23,35,88
David Pastrňák,28,RW,82,43,63,106,0,42,34,9,0,4,49,14,0,319,13.5,624,20:11,3,5,37.5,24,58,40,118
Mitch Marner,27,RW,81,27,75,102,18,14,20,6,1,7,47,27,1,173,15.6,393,21:19,10,24,29.4,40,49,56,106
Connor McDavid,28,C,67,26,74,100,20,37,17,9,0,3,52,22,0,196,13.3,370,22:02,370,406,47.7,18,40,32,74
Kyle Connor,28,LW,82,41,56,97,17,25,30,9,2,8,37,19,0,267,15.4,484,20:24,1,7,12.5,46,21,33,80
Jack Eichel,28,C,77,28,66,94,32,8,22,5,1,3,36,29,1,233,12,403,20:32,572,682,45.6,55,22,28,90
Cale Makar,26,D,80,30,62,92,28,14,16,12,2,4,38,23,1,246,12.2,623,25:43:00,0,0,,128,51,60,113
Sidney Crosby,37,C,80,33,58,91,-20,31,21,12,0,10,43,15,0,227,14.5,415,20:22,1016,766,57,39,67,29,86
Brandon Hagel,26,LW,82,35,55,90,33,58,32,0,3,4,40,11,4,228,15.4,444,20:45,8,15,34.8,60,59,30,96
Clayton Keller,26,C,81,30,60,90,-12,28,20,10,0,5,33,27,0,218,13.8,445,19:07,10,20,33.3,30,11,27,79
Artemi Panarin,33,LW,80,37,52,89,-9,16,29,8,0,3,34,18,0,237,15.6,586,19:41,0,1,0,11,18,25,97
Nick Suzuki,25,C,82,30,59,89,19,8,24,4,2,9,36,23,0,172,17.4,347,20:04,680,638,51.6,70,63,31,86
Jesper Bratt,26,W,81,21,67,88,5,18,15,4,2,2,35,30,2,180,11.7,391,18:57,0,3,0,42,96,11,62
Mikko Rantanen,28,RW,82,32,56,88,13,60,21,11,0,6,41,15,0,212,15.1,444,21:15,135,120,52.9,44,48,40,82
Mark Scheifele,31,C,82,39,48,87,12,61,28,11,0,11,34,14,0,180,21.7,339,20:26,627,641,49.4,60,73,25,105
William Nylander,28,C,82,45,39,84,10,26,33,12,0,8,21,18,0,253,17.8,467,19:31,76,77,49.7,27,14,28,79
Martin Nečas,26,C,79,27,56,83,5,16,15,12,0,8,31,25,0,194,13.9,394,19:00,51,84,37.8,23,62,23,83
Matt Duchene,34,C,82,30,52,82,13,12,22,8,0,6,33,19,0,152,19.7,297,17:09,440,400,52.4,21,29,21,78
Brayden Point,28,C,77,42,40,82,17,7,26,16,0,7,25,15,0,189,22.2,355,19:29,430,456,48.5,45,26,17,45
Dylan Strome,27,C,82,29,53,82,2,34,20,9,0,3,28,25,0,149,19.5,270,17:23,691,596,53.7,54,23,21,79
Zach Werenski,27,D,81,23,59,82,12,31,17,5,1,5,37,20,2,298,7.7,638,26:45:00,0,0,,131,19,49,120
Sam Reinhart,29,C,79,39,42,81,6,27,21,13,5,4,24,17,1,213,18.3,424,20:30,212,302,41.2,62,103,24,74
Robert Thomas,25,C,70,21,60,81,20,20,17,3,1,5,44,16,0,145,14.5,308,19:57,733,605,54.8,48,13,22,99
Jake Guentzel,30,C,80,41,39,80,18,24,23,17,1,5,28,11,0,217,18.9,355,20:00,177,207,46.1,52,28,25,79
Lucas Raymond,22,LW,82,27,53,80,-15,18,18,8,1,5,24,29,0,192,14.1,382,18:47,1,7,12.5,34,42,28,80
Jason Robertson,25,LW,82,35,45,80,10,18,26,9,0,6,35,10,0,211,16.6,407,17:48,7,12,36.8,45,60,24,92
Tim Stützle,23,LW,82,24,55,79,0,46,19,5,0,2,27,28,0,162,14.8,326,19:49,195,213,47.8,45,130,23,69
Auston Matthews,27,C,67,33,45,78,11,20,21,10,2,2,30,15,0,261,12.6,480,20:28,695,528,56.8,89,45,29,62
Filip Forsberg,30,C,82,31,45,76,-27,44,21,10,0,3,29,16,0,281,11,602,18:38,4,13,23.5,52,151,38,113
Quinn Hughes,25,D,68,16,60,76,2,29,12,4,0,3,35,25,0,192,8.3,492,25:44:00,0,0,,67,13,25,97
Travis Konecny,27,RW,82,24,52,76,-17,53,15,8,1,3,41,9,2,188,12.8,404,20:36,39,61,39,42,94,26,96
Sebastian Aho,27,F,79,29,45,74,7,46,21,5,3,9,23,18,4,207,14,447,20:06,663,535,55.3,30,59,23,93
Kirill Marchenko,24,RW,79,31,43,74,29,20,29,2,0,2,26,17,0,207,15,434,18:35,13,28,31.7,38,55,36,84
John Tavares,34,C,75,38,36,74,10,46,26,12,0,8,28,8,0,200,19,342,18:14,762,546,58.3,45,92,24,69
Matt Boldy,23,LW,82,27,46,73,1,51,21,6,0,10,31,15,0,271,10,550,20:17,58,67,46.4,69,52,43,84
Adrian Kempe,28,LW,81,35,38,73,22,36,27,7,1,5,27,11,0,237,14.8,496,19:09,11,13,45.8,36,100,13,78
Alex Ovechkin,39,LW,65,44,29,73,15,14,30,14,0,7,21,8,0,237,18.6,508,17:43,0,2,0,13,110,12,47
Tage Thompson,27,C,76,44,28,72,-2,35,37,7,0,6,19,9,0,242,18.2,506,18:45,301,403,42.8,31,70,21,54
Aleksander Barkov,29,C,67,20,51,71,1,16,10,9,1,4,29,19,3,149,13.4,302,20:15,580,446,56.5,54,87,34,52
Wyatt Johnston,21,C,82,33,38,71,2,14,19,11,3,4,24,14,0,202,16.3,389,18:56,465,444,51.2,47,45,29,57
Cole Caufield,24,RW,82,37,33,70,9,14,27,10,0,8,26,7,0,239,15.5,431,18:05,6,9,40,31,66,23,56
Alex DeBrincat,27,RW,82,39,31,70,-13,29,26,13,0,4,15,16,0,244,16,456,17:52,26,32,44.8,38,33,29,71
Jack Hughes,23,C,62,27,43,70,12,18,20,6,1,7,21,21,1,229,11.8,465,20:54,251,416,37.6,29,7,22,87
Jordan Kyrou,26,C,82,36,34,70,23,20,29,7,0,4,24,10,0,239,15.1,465,17:29,5,10,33.3,36,50,21,79
Dylan Larkin,28,C,82,30,40,70,-16,40,17,13,0,3,26,14,0,234,12.8,456,20:04,871,728,54.5,33,44,39,94
Rickard Rakell,31,RW,81,35,35,70,-22,14,26,9,0,1,25,10,0,203,17.2,409,19:18,19,26,42.2,77,116,20,77
J.T. Miller,31,C,72,22,48,70,-6,55,17,5,0,2,27,17,4,137,16.1,272,18:12,628,450,58.3,50,168,28,71
Nico Hischier,26,C,75,35,34,69,9,20,21,14,0,3,17,15,2,187,18.7,345,20:23,987,790,55.5,60,44,24,53
Drake Batherson,26,C,82,26,42,68,-9,30,13,13,0,3,24,18,0,192,13.5,354,18:09,12,12,50,30,149,23,52
Rasmus Dahlin,24,D,73,17,51,68,11,54,12,5,0,1,34,16,1,200,8.5,433,24:14:00,0,0,,98,101,39,105
JJ Peterka,23,RW,77,27,41,68,-1,34,21,6,0,3,29,12,0,173,15.6,384,18:11,2,10,16.7,16,30,22,87
Connor Bedard,19,C,82,23,44,67,-36,70,12,11,0,5,26,18,0,195,11.8,402,20:17,251,405,38.3,37,47,26,90
Evan Bouchard,25,D,82,14,53,67,14,32,11,3,0,2,30,23,0,235,6,544,23:28,0,0,,108,31,55,128
Roope Hintz,28,LW,76,28,39,67,18,30,20,7,1,7,25,13,1,160,17.5,285,16:53,458,392,53.9,46,53,17,70
Seth Jarvis,22,C,73,32,35,67,12,16,20,7,5,2,21,12,2,204,15.7,392,19:21,52,100,34.2,51,93,32,58
Nazem Kadri,34,C,82,35,32,67,-17,72,26,9,0,5,19,13,0,279,12.5,547,19:21,677,787,46.2,30,55,30,60
Anže Kopitar,37,C,81,21,46,67,14,4,17,4,0,7,27,18,1,98,21.4,197,18:57,879,658,57.2,67,31,30,65
Mark Stone,32,RW,66,19,48,67,22,14,14,5,0,4,27,20,1,131,14.5,227,19:15,5,10,33.3,42,32,38,73
Alex Tuch,28,RW,82,36,31,67,16,47,27,3,6,4,20,8,3,196,18.4,391,19:15,77,111,41,113,73,49,76
Pierre-Luc Dubois,26,LW,82,20,46,66,27,76,16,4,0,4,36,10,0,142,14.1,288,17:18,577,584,49.7,62,65,15,65
Victor Hedman,34,D,79,15,51,66,18,30,11,4,0,1,29,22,0,181,8.3,475,23:05,0,0,,133,39,25,119
Lane Hutson,20,D,82,6,60,66,-2,34,5,1,0,0,35,25,0,91,6.6,297,22:44,0,0,,123,40,56,109
Aliaksei Protas,24,C,76,30,36,66,40,18,27,0,3,6,33,1,2,142,21.1,249,16:27,6,19,24,33,20,19,56
Mikael Granlund,32,C,83,22,44,66,0,28,16,5,1,4,30,14,0,169,13,326,19:27,359,365,49.6,60,57,19,79
Logan Cooley,20,C,75,25,40,65,1,46,18,7,0,2,27,13,0,158,15.8,293,17:52,340,420,44.7,32,63,24,66
Bryan Rust,32,RW,71,31,34,65,-21,18,26,5,0,5,21,13,0,190,16.3,335,19:45,9,8,52.9,54,62,17,64
Tom Wilson,30,RW,81,33,32,65,20,100,20,11,2,6,23,6,3,169,19.5,335,18:44,5,14,26.3,71,233,20,91
Macklin Celebrini,18,F,70,25,38,63,-31,28,17,8,0,4,24,14,0,236,10.6,457,19:47,507,544,48.2,53,37,29,113
Nikolaj Ehlers,28,LW,69,24,39,63,14,17,18,6,0,5,23,16,0,174,13.8,365,15:48,5,14,26.3,33,38,16,52
Dylan Holloway,23,C,77,26,37,63,21,10,20,6,0,8,30,7,0,178,14.6,336,16:49,61,82,42.7,50,165,34,69
Matvei Michkov,20,RW,80,26,37,63,-18,46,18,8,0,3,28,9,0,200,13,359,16:41,19,22,46.3,23,29,14,82
Nick Schmaltz,28,C,82,20,43,63,-15,14,11,9,0,3,27,16,0,186,10.8,374,18:35,185,191,49.2,45,14,31,93
Ryan Donato,28,C,80,31,31,62,-15,41,26,5,0,3,22,9,0,182,17,336,16:19,234,291,44.6,18,104,23,48
Jonathan Huberdeau,31,LW,81,28,34,62,-13,34,15,10,3,6,20,13,1,153,18.3,267,19:33,13,26,33.3,64,50,23,88
Josh Morrissey,29,D,80,14,48,62,17,22,11,3,0,2,29,19,0,172,8.1,433,24:23:00,0,0,,113,49,32,78
Mika Zibanejad,31,C,82,20,42,62,-22,22,13,7,0,0,24,12,6,183,10.9,383,18:46,549,507,52,46,44,29,83
Adam Fox,26,D,74,10,51,61,9,32,8,1,1,2,32,17,2,135,7.4,339,23:15,0,0,,108,40,40,76
Tomáš Hertl,31,C,73,32,29,61,-3,20,18,14,0,3,20,9,0,177,18.1,320,17:07,536,422,55.9,56,99,29,45
Jared McCann,28,C,82,22,39,61,8,18,18,4,0,3,26,12,1,202,10.9,418,17:13,109,135,44.7,50,47,29,66
Gabriel Vilardi,25,C,71,27,34,61,9,14,15,12,0,6,21,13,0,130,20.8,232,18:08,75,77,49.3,50,21,22,41
