Player,GP,BLK,HIT,TAKE,GIVE
Nikita Kucherov,78,33,23,30,122
Nathan MacKinnon,79,58,38,27,121
Leon Draisaitl,71,27,23,35,88
David Pastrňák,82,24,58,40,118
Mitch Marner,81,40,49,56,106
Connor McDavid,67,18,40,32,74
Kyle Connor,82,46,21,33,80
Jack Eichel,77,55,22,28,90
Cale Makar,80,128,51,60,113
Sidney Crosby,80,39,67,29,86
Brandon Hagel,82,60,59,30,96
Clayton Keller,81,30,11,27,79
Artemi Panarin,80,11,18,25,97
Nick Suzuki,82,70,63,31,86
Jesper Bratt,81,42,96,11,62
Mikko Rantanen,82,44,48,40,82
Mark Scheifele,82,60,73,25,105
William Nylander,82,27,14,28,79
Martin Nečas,79,23,62,23,83
Matt Duchene,82,21,29,21,78
Brayden Point,77,45,26,17,45
Dylan Strome,82,54,23,21,79
Zach Werenski,81,131,19,49,120
Sam Reinhart,79,62,103,24,74
Robert Thomas,70,48,13,22,99
Jake Guentzel,80,52,28,25,79
Lucas Raymond,82,34,42,28,80
Jason Robertson,82,45,60,24,92
Tim Stützle,82,45,130,23,69
Auston Matthews,67,89,45,29,62
Filip Forsberg,82,52,151,38,113
Quinn Hughes,68,67,13,25,97
Travis Konecny,82,42,94,26,96
Sebastian Aho,79,30,59,23,93
Kirill Marchenko,79,38,55,36,84
John Tavares,75,45,92,24,69
Matt Boldy,82,69,52,43,84
Adrian Kempe,81,36,100,13,78
Alex Ovechkin,65,13,110,12,47
Tage Thompson,76,31,70,21,54
Aleksander Barkov,67,54,87,34,52
Wyatt Johnston,82,47,45,29,57
Cole Caufield,82,31,66,23,56
Alex DeBrincat,82,38,33,29,71
Jack Hughes,62,29,7,22,87
Jordan Kyrou,82,36,50,21,79
Dylan Larkin,82,33,44,39,94
Rickard Rakell,81,77,116,20,77
J.T. Miller,72,50,168,28,71
Nico Hischier,75,60,44,24,53
Drake Batherson,82,30,149,23,52
Rasmus Dahlin,73,98,101,39,105
JJ Peterka,77,16,30,22,87
Connor Bedard,82,37,47,26,90
Evan Bouchard,82,108,31,55,128
Roope Hintz,76,46,53,17,70
Seth Jarvis,73,51,93,32,58
Nazem Kadri,82,30,55,30,60
Anže Kopitar,81,67,31,30,65
Mark Stone,66,42,32,38,73
Alex Tuch,82,113,73,49,76
Pierre-Luc Dubois,82,62,65,15,65
Victor Hedman,79,133,39,25,119
Lane Hutson,82,123,40,56,109
Aliaksei Protas,76,33,20,19,56
Mikael Granlund,83,60,57,19,79
Logan Cooley,75,32,63,24,66
Bryan Rust,71,54,62,17,64
Tom Wilson,81,71,233,20,91
Macklin Celebrini,70,53,37,29,113
Nikolaj Ehlers,69,33,38,16,52
Dylan Holloway,77,50,165,34,69
Matvei Michkov,80,23,29,14,82
Nick Schmaltz,82,45,14,31,93
Ryan Donato,80,18,104,23,48
Jonathan Huberdeau,81,64,50,23,88
Josh Morrissey,80,113,49,32,78
Mika Zibanejad,82,46,44,29,83
Adam Fox,74,108,40,40,76
Tomáš Hertl,73,56,99,29,45
Jared McCann,82,50,47,29,66
Gabriel Vilardi,71,50,21,22,41
Kevin Fiala,81,22,63,30,88
Dylan Guenther,70,42,53,18,55
Marco Rossi,82,41,62,18,60
Anthony Cirelli,80,72,25,21,66
Patrick Kane,72,23,19,13,77
Vincent Trocheck,82,78,214,33,95
William Eklund,77,46,54,15,75
Matthew Knies,78,41,182,14,51
Teuvo Teräväinen,82,29,27,23,76
Pavel Buchnevich,76,32,44,15,70
Morgan Geekie,77,29,110,31,51
Bo Horvat,81,40,100,22,91
Kent Johnson,68,29,3,21,64
Connor McMichael,82,36,39,20,68
Sean Monahan,54,34,30,13,52
Jake Sanderson,80,163,38,53,98
Shea Theodore,67,82,6,28,105
Matthew Tkachuk,52,12,84,10,47
Kirill Kaprizov,41,17,16,12,59
Jonathan Marchessault,78,25,77,10,89
Brock Nelson,80,43,35,40,50
Troy Terry,77,29,7,22,68
Brady Tkachuk,72,33,228,19,48
Quinton Byfield,81,33,80,24,68
Adam Fantilli,82,56,113,23,89
Anders Lee,82,39,121,12,67
Tyler Toffoli,78,32,54,18,52
Mats Zuccarello,69,48,32,29,77
Erik Karlsson,82,94,29,44,140
Ryan McLeod,79,35,17,26,70
Timo Meier,80,65,141,22,73
Ryan O'Reilly,79,72,20,31,64
Mikhail Sergachev,77,140,61,32,126
Steven Stamkos,82,46,66,18,57
Carter Verhaeghe,81,28,95,23,81
Jason Zucker,73,22,68,20,73
Pavel Dorofeyev,82,37,28,24,55
Mason McTavish,76,31,70,18,51
Ivan Barbashev,70,33,104,18,78
Sam Bennett,76,45,145,27,57
John Carlson,79,131,49,36,112
Juraj Slafkovsky,79,62,194,16,71
Chandler Stephenson,78,50,33,30,58
Brad Marchand,71,34,81,21,86
Brock Boeser,75,34,76,18,37
Conor Garland,81,58,49,20,63
Claude Giroux,81,41,64,19,66
