0,1,2,Player,Salary
Auston ,Matthews,13250000,Auston Matthews,13.25
Nathan,MacKinnon,12600000,Nathan MacKinnon,12.6
Connor,McDavid,12500000,Connor McDavid,12.5
Artemi,Panarin,11642857,Artemi Panarin,11.642857
Elias,Pettersson,11600000,Elias Pettersson,11.6
Erik,Karlsson,11500000,Erik Karlsson,11.5
William,Nylander,11500000,William Nylander,11.5
David,Pastrnak,11250000,David Pastrnak,11.25
Drew,Doughty,11000000,Drew Doughty,11
John,Tavares,11000000,John Tavares,11
Rasmus,Dahlin,11000000,Rasmus Dahlin,11
Mitchell,Marner,10903000,Mitchell Marner,10.903
Jonathan,Huberdeau,10500000,Jonathan Huberdeau,10.5
Aleksander,Barkov,10000000,Aleksander Barkov,10
Jack,Eichel,10000000,Jack Eichel,10
Tyler,Seguin,9850000,Tyler Seguin,9.85
Sebastian,Aho,9750000,Sebastian Aho,9.75
Zach,Werenski,9583333,Zach Werenski,9.583333
Alex,Ovechkin,9500000,Alex Ovechkin,9.5
Jamie,Benn,9500000,Jamie Benn,9.5
Mark,Stone,9500000,Mark Stone,9.5
Nikita,Kucherov,9500000,Nikita Kucherov,9.5
Seth,Jones,9500000,Seth Jones,9.5
Brayden,Point,9500000,Brayden Point,9.5
Matthew,Tkachuk,9500000,Matthew Tkachuk,9.5
Charlie,McAvoy,9500000,Charlie McAvoy,9.5
Adam,Fox,9500000,Adam Fox,9.5
Darnell,Nurse,9250000,Darnell Nurse,9.25
Mikko,Rantanen,9250000,Mikko Rantanen,9.25
Nicklas,Backstrom,9200000,Nicklas Backstrom,9.2
Mathew,Barzal,9150000,Mathew Barzal,9.15
Roman,Josi,9059000,Roman Josi,9.059
Dougie,Hamilton,9000000,Dougie Hamilton,9
Jake,Guentzel,9000000,Jake Guentzel,9
Kirill,Kaprizov,9000000,Kirill Kaprizov,9
Cale,Makar,9000000,Cale Makar,9
Alex,Pietrangelo,8800000,Alex Pietrangelo,8.8
Timo,Meier,8800000,Timo Meier,8.8
Sidney,Crosby,8700000,Sidney Crosby,8.7
Dylan,Larkin,8700000,Dylan Larkin,8.7
Patrik,Laine,8700000,Patrik Laine,8.7
Sam,Reinhart,8625000,Sam Reinhart,8.625
Moritz,Seider,8550000,Moritz Seider,8.55
Mika,Zibanejad,8500000,Mika Zibanejad,8.5
Mark,Scheifele,8500000,Mark Scheifele,8.5
Filip,Forsberg,8500000,Filip Forsberg,8.5
Bo,Horvat,8500000,Bo Horvat,8.5
Leon,Draisaitl,8500000,Leon Draisaitl,8.5
Pierre-Luc,Dubois,8500000,Pierre-Luc Dubois,8.5
Mikhail,Sergachev,8500000,Mikhail Sergachev,8.5
Roope,Hintz,8450000,Roope Hintz,8.45
Miro,Heiskanen,8450000,Miro Heiskanen,8.45
Tim,Stutzle,8350000,Tim Stutzle,8.35
Owen,Power,8350000,Owen Power,8.35
Brady,Tkachuk,8205714,Brady Tkachuk,8.205714
Tomas,Hertl,8137500,Tomas Hertl,8.1375
Jordan,Kyrou,8125000,Jordan Kyrou,8.125
Robert,Thomas,8125000,Robert Thomas,8.125
Lucas,Raymond,8075000,Lucas Raymond,8.075
Jake,Sanderson,8050000,Jake Sanderson,8.05
Jack,Hughes,8000000,Jack Hughes,8
Brent,Burns,8000000,Brent Burns,8
Steven,Stamkos,8000000,Steven Stamkos,8
Logan,Couture,8000000,Logan Couture,8
John,Carlson,8000000,John Carlson,8
J.T.,Miller,8000000,J.T. Miller,8
Jacob,Trouba,8000000,Jacob Trouba,8
Thomas,Chabot,8000000,Thomas Chabot,8
Joshua,Norris,7950000,Joshua Norris,7.95
Victor,Hedman,7875000,Victor Hedman,7.875
Kevin,Fiala,7875000,Kevin Fiala,7.875
Alex,Debrincat,7875000,Alex Debrincat,7.875
Jesper,Bratt,7875000,Jesper Bratt,7.875
Nick,Suzuki,7875000,Nick Suzuki,7.875
Shea,Weber,7857143,Shea Weber,7.857143
Quinn,Hughes,7850000,Quinn Hughes,7.85
Cole,Caufield,7850000,Cole Caufield,7.85
Jason,Robertson,7750000,Jason Robertson,7.75
Andrei,Svechnikov,7750000,Andrei Svechnikov,7.75
Dmitry,Orlov,7750000,Dmitry Orlov,7.75
Sean,Couturier,7750000,Sean Couturier,7.75
Elias,Lindholm,7750000,Elias Lindholm,7.75
Jared,Spurgeon,7575000,Jared Spurgeon,7.575
Morgan,Rielly,7500000,Morgan Rielly,7.5
Aaron,Ekblad,7500000,Aaron Ekblad,7.5
Seth,Jarvis,7420087,Seth Jarvis,7.420087
Noah,Hanifin,7350000,Noah Hanifin,7.35
Vince,Dunn,7350000,Vince Dunn,7.35
Devon,Toews,7250000,Devon Toews,7.25
Filip,Hronek,7250000,Filip Hronek,7.25
Nico,Hischier,7250000,Nico Hischier,7.25
Clayton,Keller,7150000,Clayton Keller,7.15
Kevin,Hayes,7142857,Kevin Hayes,7.142857
Brandon,Montour,7142857,Brandon Montour,7.142857
Kyle,Connor,7142857,Kyle Connor,7.142857
Tage,Thompson,7142857,Tage Thompson,7.142857
Matthew,Beniers,7142857,Matthew Beniers,7.142857
Dylan,Cozens,7100000,Dylan Cozens,7.1
Matt,Boldy,7000000,Matt Boldy,7
Anze,Kopitar,7000000,Anze Kopitar,7
Nazem,Kadri,7000000,Nazem Kadri,7
Anders,Lee,7000000,Anders Lee,7
Gabriel,Landeskog,7000000,Gabriel Landeskog,7
Brady,Skjei,7000000,Brady Skjei,7
Troy,Terry,7000000,Troy Terry,7
Ryan,McDonagh,6750000,Ryan McDonagh,6.75
Ivan,Provorov,6750000,Ivan Provorov,6.75
Brock,Boeser,6650000,Brock Boeser,6.65
Claude,Giroux,6500000,Claude Giroux,6.5
Brayden,Schenn,6500000,Brayden Schenn,6.5
Chris,Kreider,6500000,Chris Kreider,6.5
Cam,Fowler,6500000,Cam Fowler,6.5
Justin,Faulk,6500000,Justin Faulk,6.5
Brendan,Gallagher,6500000,Brendan Gallagher,6.5
Torey,Krug,6500000,Torey Krug,6.5
Hampus,Lindholm,6500000,Hampus Lindholm,6.5
Tom,Wilson,6500000,Tom Wilson,6.5
Colton,Parayko,6500000,Colton Parayko,6.5
Brandon,Hagel,6500000,Brandon Hagel,6.5
Martin,Necas,6500000,Martin Necas,6.5
Jeff,Petry,6250000,Jeff Petry,6.25
Ryan,Ellis,6250000,Ryan Ellis,6.25
Mattias,Ekholm,6250000,Mattias Ekholm,6.25
Alex,Killorn,6250000,Alex Killorn,6.25
Damon,Severson,6250000,Damon Severson,6.25
Chandler,Stephenson,6250000,Chandler Stephenson,6.25
MacKenzie,Weegar,6250000,MacKenzie Weegar,6.25
Josh,Morrissey,6250000,Josh Morrissey,6.25
Travis,Sanheim,6250000,Travis Sanheim,6.25
Anthony,Cirelli,6250000,Anthony Cirelli,6.25
Quinton,Byfield,6250000,Quinton Byfield,6.25
Owen,Tippett,6200000,Owen Tippett,6.2
Ryan,Pulock,6150000,Ryan Pulock,6.15
Brad,Marchand,6125000,Brad Marchand,6.125
Valeri,Nichushkin,6125000,Valeri Nichushkin,6.125
Evgeni,Malkin,6100000,Evgeni Malkin,6.1
Kris,Letang,6100000,Kris Letang,6.1
Taylor,Hall,6000000,Taylor Hall,6
Brock,Nelson,6000000,Brock Nelson,6
Tyler,Toffoli,6000000,Tyler Toffoli,6
Jonas,Brodin,6000000,Jonas Brodin,6
Ondrej,Palat,6000000,Ondrej Palat,6
Nikolaj,Ehlers,6000000,Nikolaj Ehlers,6
Sean,Durzi,6000000,Sean Durzi,6
William,Karlsson,5900000,William Karlsson,5.9
Vladislav,Gavrikov,5875000,Vladislav Gavrikov,5.875
Neal,Pionk,5875000,Neal Pionk,5.875
Nick,Schmaltz,5850000,Nick Schmaltz,5.85
Esa,Lindell,5800000,Esa Lindell,5.8
Pavel,Buchnevich,5800000,Pavel Buchnevich,5.8
Andrew,Mangiapane,5800000,Andrew Mangiapane,5.8
T.J.,Oshie,5750000,T.J. Oshie,5.75
Adam,Pelech,5750000,Adam Pelech,5.75
Gustav,Forsling,5750000,Gustav Forsling,5.75
Matt,Roy,5750000,Matt Roy,5.75
Casey,Mittelstadt,5750000,Casey Mittelstadt,5.75
Trevor,Zegras,5750000,Trevor Zegras,5.75
Vincent,Trocheck,5625000,Vincent Trocheck,5.625
Andrew,Copp,5625000,Andrew Copp,5.625
Jaden,Schwartz,5500000,Jaden Schwartz,5.5
Zach,Hyman,5500000,Zach Hyman,5.5
Phillip,Danault,5500000,Phillip Danault,5.5
Jonathan,Marchessault,5500000,Jonathan Marchessault,5.5
Josh,Anderson,5500000,Josh Anderson,5.5
Sean,Monahan,5500000,Sean Monahan,5.5
Andre,Burakovsky,5500000,Andre Burakovsky,5.5
Tyler,Bertuzzi,5500000,Tyler Bertuzzi,5.5
Brett,Pesce,5500000,Brett Pesce,5.5
Adrian,Kempe,5500000,Adrian Kempe,5.5
Jake,DeBrusk,5500000,Jake DeBrusk,5.5
Travis,Konecny,5500000,Travis Konecny,5.5
Andrei,Kuzmenko,5500000,Andrei Kuzmenko,5.5
Teuvo,Teravainen,5400000,Teuvo Teravainen,5.4
Oliver,Bjorkstrand,5400000,Oliver Bjorkstrand,5.4
Jaccob,Slavin,5300000,Jaccob Slavin,5.3
Charlie,Coyle,5250000,Charlie Coyle,5.25
Joel,Eriksson Ek,5250000,Joel Eriksson Ek,5.25
Shea,Theodore,5200000,Shea Theodore,5.2
Erik,Cernak,5200000,Erik Cernak,5.2
Yanni,Gourde,5166667,Yanni Gourde,5.166667
Evander,Kane,5125000,Evander Kane,5.125
Bryan,Rust,5125000,Bryan Rust,5.125
Ryan,Nugent-Hopkins,5125000,Ryan Nugent-Hopkins,5.125
Rasmus,Ristolainen,5100000,Rasmus Ristolainen,5.1
J.T.,Compher,5100000,J.T. Compher,5.1
Kyle,Palmieri,5000000,Kyle Palmieri,5
Reilly,Smith,5000000,Reilly Smith,5
Mikael,Granlund,5000000,Mikael Granlund,5
Jason,Zucker,5000000,Jason Zucker,5
Ryan,Strome,5000000,Ryan Strome,5
Rickard,Rakell,5000000,Rickard Rakell,5
Jean-Gabriel,Pageau,5000000,Jean-Gabriel Pageau,5
Ivan,Barbashev,5000000,Ivan Barbashev,5
Alexander,Wennberg,5000000,Alexander Wennberg,5
Nikita,Zadorov,5000000,Nikita Zadorov,5
Jared,McCann,5000000,Jared McCann,5
Dylan,Strome,5000000,Dylan Strome,5
Samuel,Girard,5000000,Samuel Girard,5
Joel,Farabee,5000000,Joel Farabee,5
Anton,Lundell,5000000,Anton Lundell,5
Drake,Batherson,4975000,Drake Batherson,4.975
Conor,Garland,4950000,Conor Garland,4.95
Blake,Coleman,4900000,Blake Coleman,4.9
Dylan,Demelo,4900000,Dylan Demelo,4.9
Mike,Matheson,4875000,Mike Matheson,4.875
Jesperi,Kotkaniemi,4820000,Jesperi Kotkaniemi,4.82
Ilya,Mikheyev,4750000,Ilya Mikheyev,4.75
